Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:19:50.038],0.20,0.00,0.00,0.00,-0.03,-0.01,0.96,0.98,0.55,1.40,4215.00
[16:19:50.038],0.20,0.00,0.00,0.00,0.00,-0.02,1.06,0.73,0.67,1.40,4166.00
[16:19:50.038],0.20,0.00,0.00,0.00,-0.01,-0.02,1.04,1.04,0.85,1.46,4166.00
[16:19:50.038],0.20,0.00,0.00,0.00,-0.01,-0.02,1.04,1.04,0.85,1.46,4089.00
[16:19:50.049],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1331.00
[16:19:50.070],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1331.00
[16:19:50.096],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1375.00
[16:19:50.122],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.85,1.53,1375.00
[16:19:50.148],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1502.00
[16:19:50.174],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.85,1.46,1502.00
[16:19:50.195],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.85,1.46,1463.00
[16:19:50.221],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1463.00
[16:19:50.246],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1303.00
[16:19:50.273],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.46,1303.00
[16:19:50.299],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.85,1.40,1327.00
[16:19:50.319],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1327.00
[16:19:50.346],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1510.00
[16:19:50.372],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.73,1.40,1510.00
[16:19:50.398],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.73,1.40,1284.00
[16:19:50.424],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1284.00
[16:19:50.450],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1284.00
[16:19:50.476],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.40,1306.00
[16:19:50.497],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.40,1306.00
[16:19:50.523],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1496.00
[16:19:50.549],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.73,0.73,1.40,1496.00
[16:19:50.575],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.73,0.73,1.40,1308.00
[16:19:50.601],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.40,1308.00
[16:19:50.621],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.67,1.40,1335.00
[16:19:50.647],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.34,1335.00
[16:19:50.673],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.40,1405.00
[16:19:50.699],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.67,1.46,1405.00
[16:19:50.725],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.53,1236.00
[16:19:50.751],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.85,1.34,1236.00
[16:19:50.778],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.85,1.34,1336.00
[16:19:50.799],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.79,1.40,1336.00
