Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:20:27.671],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.73,0.67,1.46,1290.00
[16:20:27.671],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.46,1270.00
[16:20:27.671],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.59,1270.00
[16:20:27.671],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.59,1258.00
[16:20:27.676],0.00,0.00,0.25,-0.87,0.00,-0.01,1.04,0.73,0.92,1.40,1122.00
[16:20:27.702],0.00,0.00,-0.00,-0.22,-0.02,0.00,1.06,0.85,0.24,1.65,1122.00
[16:20:27.728],0.00,0.00,-0.00,0.00,0.01,0.02,1.05,1.04,-1.71,1.77,1122.00
[16:20:27.760],0.00,0.00,-0.00,0.31,0.03,-0.02,1.00,1.46,3.42,1.59,1122.00
[16:20:27.781],0.00,0.00,-0.18,1.00,0.03,-0.02,1.00,1.46,3.42,1.59,1169.00
[16:20:27.807],0.00,0.00,-0.16,0.76,0.02,-0.01,1.04,0.18,0.00,1.04,1169.00
[16:20:27.828],0.00,0.00,-0.16,0.76,-0.01,0.02,1.02,0.24,0.98,0.92,1169.00
[16:20:27.854],0.00,0.00,-0.16,0.81,-0.02,0.00,1.07,1.65,1.34,2.01,1169.00
[16:20:27.880],0.00,0.00,-0.00,0.87,0.02,-0.00,1.09,0.55,-0.61,1.16,1576.00
[16:20:27.907],0.00,0.00,-0.00,0.90,0.00,-0.00,1.01,1.04,1.89,1.46,1576.00
[16:20:27.933],0.00,0.00,-0.00,0.90,0.02,0.00,1.08,0.92,-0.92,1.28,727.00
[16:20:27.953],0.00,0.00,-0.00,1.00,0.02,0.00,1.08,0.92,-0.92,1.28,727.00
[16:20:27.979],0.00,0.00,-0.00,1.00,0.02,0.01,1.03,1.22,2.01,1.53,1277.00
[16:20:28.005],0.00,0.00,-0.00,1.00,0.03,-0.01,1.05,0.67,0.12,1.34,1277.00
[16:20:28.031],0.00,0.00,-0.00,1.00,-0.00,-0.00,1.02,0.67,0.31,1.28,1779.00
[16:20:28.057],0.00,0.00,-0.00,1.00,-0.02,-0.01,1.06,0.37,0.49,1.71,1779.00
[16:20:28.077],0.00,0.00,0.15,1.00,0.02,0.01,1.02,1.10,1.16,1.71,1779.00
[16:20:28.103],0.00,0.00,0.15,1.00,0.01,0.00,1.03,0.06,-0.18,0.85,1779.00
[16:20:28.134],0.00,0.00,0.16,1.00,0.00,-0.02,1.03,1.16,1.59,2.14,1125.00
[16:20:28.155],0.00,0.00,0.16,1.00,0.00,-0.02,1.03,1.16,1.59,2.14,1125.00
[16:20:28.181],0.00,0.00,0.16,1.00,0.01,-0.01,1.05,0.49,0.61,1.22,1125.00
[16:20:28.207],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.85,1.22,1.40,1125.00
[16:20:28.233],0.00,0.00,0.16,1.00,0.00,0.01,1.05,0.73,0.79,1.46,1136.00
[16:20:28.259],0.00,0.00,0.16,1.00,0.01,0.00,1.05,0.67,1.10,1.28,1136.00
[16:20:28.280],0.00,0.00,0.16,1.00,0.00,0.00,1.05,0.98,0.49,1.53,1136.00
[16:20:28.305],0.00,0.00,0.16,1.00,0.00,-0.00,1.05,0.73,0.79,1.34,1136.00
[16:20:28.331],0.00,0.00,0.16,1.00,0.00,-0.00,1.05,0.73,0.79,1.34,1134.00
[16:20:28.357],0.00,0.00,0.16,1.00,0.00,-0.01,1.05,0.92,0.55,1.46,1134.00
[16:20:28.383],0.00,0.00,0.16,1.00,0.00,-0.00,1.04,0.79,0.73,1.40,1134.00
[16:20:28.410],0.00,0.00,0.16,1.00,0.00,-0.00,1.04,0.79,0.79,1.40,1134.00
[16:20:28.431],0.00,0.00,0.16,1.00,0.00,0.00,1.04,0.85,0.85,1.34,1134.00
[16:20:28.457],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.79,0.92,1.34,1135.00
[16:20:28.482],0.00,0.00,0.16,1.00,0.00,-0.00,1.05,0.92,0.73,1.46,1135.00
[16:20:28.509],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.85,0.85,1.40,1135.00
[16:20:28.535],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.85,0.85,1.40,1135.00
[16:20:28.561],0.00,0.00,0.16,1.00,0.00,-0.00,1.05,0.73,0.73,1.34,1135.00
[16:20:28.587],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.79,0.85,1.40,1135.00
[16:20:28.607],0.00,0.00,0.16,1.00,0.00,0.00,1.04,0.79,0.67,1.40,1135.00
[16:20:28.633],0.00,0.00,0.16,1.00,0.00,0.00,1.04,0.85,0.73,1.40,1135.00
[16:20:28.659],0.00,0.00,0.16,1.00,0.00,-0.00,1.04,0.85,0.79,1.40,1135.00
[16:20:28.685],0.00,0.00,0.16,1.00,0.01,-0.00,1.04,0.73,0.79,1.46,1135.00
[16:20:28.711],0.00,0.00,0.16,0.97,0.00,-0.00,1.04,0.79,0.61,1.46,1136.00
[16:20:28.737],0.00,0.00,-0.00,0.50,0.00,-0.00,1.04,0.79,0.61,1.46,1136.00
[16:20:28.763],0.00,0.00,-0.00,0.00,-0.00,0.01,1.05,0.49,0.73,1.34,1136.00
[16:20:28.789],0.00,0.00,-0.00,0.00,0.03,-0.00,1.04,0.98,0.98,1.53,1136.00
[16:20:28.815],0.00,0.00,-0.00,0.00,-0.03,-0.02,1.01,1.71,-0.73,1.16,1142.00
[16:20:28.835],0.00,0.00,-0.00,0.00,0.01,-0.00,0.98,0.43,1.22,1.77,1142.00
[16:20:28.861],0.00,0.00,-0.00,0.00,0.00,0.01,1.04,0.92,0.67,1.10,1617.00
[16:20:28.887],0.00,0.00,-0.00,0.00,0.02,0.01,1.08,0.85,1.10,1.28,1617.00
[16:20:28.913],0.00,0.00,-0.00,0.00,0.02,0.01,1.08,0.85,1.10,1.28,1617.00
[16:20:28.939],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.61,1.28,1.77,1617.00
[16:20:28.960],0.00,0.00,-0.00,0.00,-0.07,-0.00,1.05,0.18,-0.24,1.16,1762.00
[16:20:28.986],0.00,0.00,-0.00,0.00,0.03,-0.01,1.04,1.40,-0.43,1.89,1762.00
[16:20:29.012],0.00,0.00,-0.00,0.00,-0.00,-0.01,1.04,0.24,1.71,1.46,1660.00
[16:20:29.038],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,1.10,-0.49,1.40,1660.00
[16:20:29.064],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.67,1.28,1.53,1324.00
[16:20:29.090],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,1.16,0.24,1.22,1324.00
[16:20:29.116],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,1.16,0.24,1.22,1388.00
