Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:21:17.516],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.46,1340.00
[16:21:17.516],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1474.00
[16:21:17.516],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1474.00
[16:21:17.516],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1263.00
[16:21:17.521],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1474.00
[16:21:17.547],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1346.00
[16:21:17.568],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1346.00
[16:21:17.594],0.00,0.00,-0.00,0.00,-0.00,0.00,1.04,0.85,0.79,1.46,1313.00
[16:21:17.620],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.67,1.53,1313.00
[16:21:17.646],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.73,1.46,1457.00
[16:21:17.673],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1457.00
[16:21:17.693],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.79,1.53,1344.00
[16:21:17.724],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1344.00
[16:21:17.745],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1415.00
[16:21:17.771],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.53,1415.00
[16:21:17.797],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.40,1404.00
