Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:22:13.776],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1386.00
[16:22:13.777],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1386.00
[16:22:13.777],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.61,1.40,1453.00
[16:22:13.777],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.34,1453.00
[16:22:13.782],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.53,1243.00
[16:22:13.808],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1310.00
[16:22:13.833],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.46,1310.00
[16:22:13.859],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1350.00
[16:22:13.880],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1350.00
[16:22:13.906],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1417.00
[16:22:13.932],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.73,0.73,1.46,1417.00
[16:22:13.963],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.53,1383.00
[16:22:13.989],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1383.00
[16:22:14.015],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1279.00
[16:22:14.036],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.53,1279.00
[16:22:14.062],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.34,1355.00
[16:22:14.088],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1355.00
[16:22:14.114],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1291.00
[16:22:14.140],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1291.00
[16:22:14.161],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1291.00
[16:22:14.187],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1350.00
[16:22:14.213],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.40,1350.00
[16:22:14.239],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.61,1.53,1478.00
[16:22:14.265],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.67,0.79,1.40,1478.00
[16:22:14.291],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1447.00
[16:22:14.311],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.40,1447.00
[16:22:14.337],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1309.00
[16:22:14.368],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.46,1309.00
[16:22:14.389],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.46,1486.00
[16:22:14.415],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1486.00
[16:22:14.441],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.46,1365.00
[16:22:14.468],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.53,1365.00
[16:22:14.488],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.79,0.73,1.40,1406.00
[16:22:14.514],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.61,1.40,1406.00
[16:22:14.540],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1404.00
[16:22:14.571],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1404.00
[16:22:14.592],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1705.00
[16:22:14.618],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1705.00
[16:22:14.644],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.85,1.46,1253.00
[16:22:14.670],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.67,1.40,1253.00
[16:22:14.696],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1322.00
[16:22:14.716],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.28,1322.00
[16:22:14.743],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1481.00
[16:22:14.768],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1481.00
[16:22:14.794],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.61,1.46,1451.00
