Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:23:01.216],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.67,1.46,1922.00
[16:23:01.216],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1922.00
[16:23:01.216],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.40,1924.00
[16:23:01.216],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1924.00
[16:23:01.227],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.55,1.34,1941.00
[16:23:01.253],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.67,1.40,1941.00
[16:23:01.279],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.46,1941.00
[16:23:01.300],0.00,0.00,-0.00,0.00,0.01,-0.01,1.04,0.92,0.73,1.46,1941.00
[16:23:01.326],0.00,0.00,-0.00,0.00,0.01,-0.01,1.04,0.73,0.79,1.46,1960.00
[16:23:01.352],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.92,0.73,1.40,1960.00
[16:23:01.378],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.92,0.73,1.40,1960.00
[16:23:01.404],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.73,1.46,1960.00
[16:23:01.425],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.40,1978.00
[16:23:01.451],0.00,0.00,-0.00,0.00,0.01,-0.01,1.04,0.92,0.73,1.46,1978.00
[16:23:01.477],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.40,1978.00
[16:23:01.503],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.79,1.40,1978.00
[16:23:01.529],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.67,1.46,1978.00
[16:23:01.555],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.79,1.34,1958.00
[16:23:01.582],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.79,1.34,1956.00
[16:23:01.603],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.67,1.40,1956.00
