Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:24:44.846],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.92,0.73,1.46,1923.00
[16:24:44.846],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.73,1.40,1923.00
[16:24:44.846],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.85,0.73,1.46,1923.00
[16:24:44.846],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.79,0.79,1.40,1933.00
[16:24:44.867],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.67,1.46,2857.00
[16:24:44.892],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.67,1.46,2455.00
[16:24:44.919],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.53,2455.00
[16:24:44.944],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.85,0.73,1.46,2962.00
[16:24:44.965],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.67,1.40,2962.00
[16:24:44.991],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.73,0.85,1.46,3506.00
[16:24:45.017],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.79,0.79,1.46,3506.00
[16:24:45.043],0.00,0.00,-0.00,0.00,0.01,0.00,1.04,0.73,0.73,1.46,2591.00
[16:24:45.069],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.53,2591.00
[16:24:45.094],0.00,0.00,-0.00,0.00,0.00,0.00,1.04,0.85,0.73,1.53,2431.00
[16:24:45.120],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.73,1.46,2431.00
[16:24:45.146],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.79,1.46,2087.00
[16:24:45.172],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.85,0.73,1.40,2087.00
[16:24:45.193],0.00,0.00,-0.00,0.00,0.01,-0.00,1.04,0.79,0.73,1.46,2087.00
