Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[04:28:27.571],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.66,0.82,1.57,3000.00
[04:28:28.255],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.66,0.82,1.57,3000.00
[04:28:28.255],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.66,0.82,1.57,3000.00
[04:28:28.393],0.00,0.00,0.00,0.00,0.00,-0.01,1.21,-1.71,0.90,1.14,3000.00
[04:28:28.393],0.00,0.00,0.00,0.00,0.00,-0.01,1.21,-1.71,0.90,1.14,3000.00
[04:28:28.479],0.00,0.00,0.00,0.00,0.00,-0.01,1.21,-1.71,0.90,1.14,3000.00
[04:28:28.479],0.00,0.00,0.00,0.00,-0.01,0.00,1.05,-1.37,0.67,1.73,3000.00
[04:28:28.480],0.00,0.00,0.00,0.00,-0.01,0.00,1.05,-1.37,0.67,1.73,3000.00
[04:28:28.480],0.00,0.00,0.00,0.00,-0.01,0.00,1.05,-1.37,0.67,1.73,3000.00
[04:28:28.571],0.00,0.00,0.00,0.00,0.00,0.00,1.02,-0.63,0.85,1.58,3000.00
[04:28:28.571],0.00,0.00,0.00,0.00,0.00,0.00,1.02,-0.63,0.85,1.58,3000.00
[04:28:28.572],0.00,0.00,0.00,0.00,0.00,0.00,1.02,-0.63,0.85,1.58,3000.00
[04:28:28.572],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.21,0.50,1.62,3000.00
[04:28:28.665],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.21,0.50,1.62,3000.00
[04:28:28.666],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.21,0.50,1.62,3000.00
[04:28:28.666],0.00,0.00,0.00,0.00,0.00,0.02,1.02,0.88,0.61,1.36,3000.00
[04:28:28.731],0.00,0.00,0.00,0.00,0.00,0.02,1.02,0.88,0.61,1.36,3000.00
[04:28:28.825],0.00,0.00,0.00,0.00,0.00,0.02,1.02,0.88,0.61,1.36,3000.00
[04:28:28.826],0.00,0.00,0.00,0.00,-0.01,0.01,1.02,1.14,0.87,1.39,3000.00
[04:28:28.826],0.00,0.00,0.00,0.00,-0.01,0.01,1.02,1.14,0.87,1.39,3000.00
[04:28:28.826],0.00,0.00,0.00,0.00,-0.01,0.01,1.02,1.14,0.87,1.39,3000.00
[04:28:28.914],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.43,0.54,1.69,3000.00
[04:28:28.915],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.43,0.54,1.69,3000.00
[04:28:28.915],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.43,0.54,1.69,3000.00
[04:28:28.915],0.00,0.00,0.00,0.00,0.00,-0.01,1.03,1.16,0.85,1.46,3000.00
[04:28:29.008],0.00,0.00,0.00,0.00,0.00,-0.01,1.03,1.16,0.85,1.46,3000.00
[04:28:29.009],0.00,0.00,0.00,0.00,0.00,-0.01,1.03,1.16,0.85,1.46,3000.00
[04:28:29.009],0.00,0.00,0.00,0.00,0.01,-0.01,1.05,1.27,0.79,1.45,3000.00
[04:28:29.010],0.00,0.00,0.00,0.00,0.01,-0.01,1.05,1.27,0.79,1.45,3000.00
[04:28:29.010],0.00,0.00,0.00,0.00,0.01,-0.01,1.05,1.27,0.79,1.45,3000.00
[04:28:29.100],0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.25,0.80,1.29,3000.00
[04:28:29.100],0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.25,0.80,1.29,3000.00
[04:28:29.100],0.00,0.00,0.00,0.00,0.00,0.00,1.04,1.25,0.80,1.29,3000.00
[04:28:29.100],0.00,0.00,0.00,0.00,0.00,0.00,1.03,2.30,0.71,1.46,3000.00
[04:28:29.188],0.00,0.00,0.00,0.00,0.00,0.00,1.03,2.30,0.71,1.46,3000.00
[04:28:29.189],0.00,0.00,0.00,0.00,0.00,0.00,1.03,2.30,0.71,1.46,3000.00
[04:28:29.197],0.00,0.00,0.00,0.00,0.01,-0.01,1.06,3.65,0.78,1.75,3000.00
[04:28:29.197],0.00,0.00,0.00,0.00,0.01,-0.01,1.06,3.65,0.78,1.75,3000.00
[04:28:29.293],0.00,0.00,0.00,0.00,0.01,-0.01,1.06,3.65,0.78,1.75,3000.00
[04:28:29.294],0.00,0.00,0.00,0.00,0.00,-0.02,1.01,1.19,0.53,1.42,3000.00
