Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[02:31:36.005],0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.69,0.78,1.61,4000.00
[02:31:36.993],0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.69,0.78,1.61,4000.00
[02:31:36.994],0.00,0.00,0.00,0.00,0.00,0.01,1.00,0.69,0.78,1.61,4000.00
[02:31:37.313],0.00,0.00,0.00,0.00,0.01,-0.03,1.19,-1.63,0.83,1.52,4000.00
[02:31:37.313],0.00,0.00,0.00,0.00,0.01,-0.03,1.19,-1.63,0.83,1.52,4000.00
[02:31:37.313],0.00,0.00,0.00,0.00,0.01,-0.03,1.19,-1.63,0.83,1.52,4000.00
[02:31:37.313],0.00,0.00,0.00,0.00,0.00,0.00,1.03,-1.58,0.90,1.42,4000.00
[02:31:37.417],0.00,0.00,0.00,0.00,0.00,0.00,1.03,-1.58,0.90,1.42,4000.00
[02:31:37.417],0.00,0.00,0.00,0.00,0.00,0.00,1.03,-1.58,0.90,1.42,4000.00
[02:31:37.417],0.00,0.00,0.00,0.00,-0.01,-0.01,0.97,-0.59,0.71,1.49,4000.00
[02:31:37.417],0.00,0.00,0.00,0.00,-0.01,-0.01,0.97,-0.59,0.71,1.49,4000.00
[02:31:37.480],0.00,0.00,0.00,0.00,-0.01,-0.01,0.97,-0.59,0.71,1.49,4000.00
[02:31:37.480],0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.16,0.72,1.57,4000.00
[02:31:37.481],0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.16,0.72,1.57,4000.00
[02:31:37.518],0.00,0.00,0.00,0.00,0.00,0.00,0.95,0.16,0.72,1.57,4000.00
[02:31:37.564],0.00,0.00,0.00,0.00,0.00,0.01,0.98,0.77,0.72,1.49,4000.00
[02:31:37.565],0.00,0.00,0.00,0.00,0.00,0.01,0.98,0.77,0.72,1.49,4000.00
[02:31:37.565],0.00,0.00,0.00,0.00,0.00,0.01,0.98,0.77,0.72,1.49,4000.00
[02:31:37.565],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.10,0.86,1.39,4000.00
[02:31:37.565],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.10,0.86,1.39,4000.00
[02:31:37.599],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.10,0.86,1.39,4000.00
[02:31:37.599],0.00,0.00,0.00,0.00,0.00,0.01,0.98,1.14,0.83,1.53,4000.00
[02:31:37.600],0.00,0.00,0.00,0.00,0.00,0.01,0.98,1.14,0.83,1.53,4000.00
[02:31:37.600],0.00,0.00,0.00,0.00,0.00,0.01,0.98,1.14,0.83,1.53,4000.00
[02:31:37.634],0.00,0.00,0.00,0.00,0.01,-0.01,0.99,1.36,0.83,1.41,4000.00
[02:31:37.635],0.00,0.00,0.00,0.00,0.01,-0.01,0.99,1.36,0.83,1.41,4000.00
[02:31:37.635],0.00,0.00,0.00,0.00,0.01,-0.01,0.99,1.36,0.83,1.41,4000.00
[02:31:37.635],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.12,1.02,1.47,4000.00
[02:31:37.670],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.12,1.02,1.47,4000.00
[02:31:37.670],0.00,0.00,0.00,0.00,0.00,0.02,0.98,1.12,1.02,1.47,4000.00
[02:31:37.671],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,1.23,0.90,1.53,4000.00
[02:31:37.671],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,1.23,0.90,1.53,4000.00
[02:31:37.705],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,1.23,0.90,1.53,4000.00
[02:31:37.705],0.00,0.00,0.00,0.00,-0.01,0.01,0.97,2.41,0.76,1.42,4000.00
[02:31:37.730],0.00,0.00,0.00,0.00,-0.01,0.01,0.97,2.41,0.76,1.42,4000.00
[02:31:37.730],0.00,0.00,0.00,0.00,-0.01,0.01,0.97,2.41,0.76,1.42,4000.00
[02:31:37.776],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,3.64,0.85,1.44,4000.00
[02:31:37.777],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,3.64,0.85,1.44,4000.00
[02:31:37.777],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,3.64,0.85,1.44,4000.00
[02:31:37.777],0.00,0.00,0.00,0.00,0.00,-0.01,0.97,0.98,0.92,1.63,4000.00
[02:31:37.811],0.00,0.00,0.00,0.00,0.00,-0.01,0.97,0.98,0.92,1.63,4000.00
[02:31:37.811],0.00,0.00,0.00,0.00,0.00,-0.01,0.97,0.98,0.92,1.63,4000.00
