Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[03:26:35.136],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.82,0.89,1.48,1627.00
[03:26:35.912],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.82,0.89,1.48,1627.00
[03:26:35.913],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.82,0.89,1.48,1627.00
[03:26:36.011],0.00,0.00,0.00,0.00,0.00,-0.01,1.22,0.77,0.49,1.50,1627.00
[03:26:36.069],0.00,0.00,0.00,0.00,0.00,-0.01,1.22,0.77,0.49,1.50,1627.00
[03:26:36.070],0.00,0.00,0.00,0.00,0.00,-0.01,1.22,0.77,0.49,1.50,1627.00
[03:26:36.070],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.71,0.77,1.33,1696.00
[03:26:36.070],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.71,0.77,1.33,1696.00
[03:26:36.070],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.71,0.77,1.33,1696.00
[03:26:36.122],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,0.84,0.45,1.52,1696.00
[03:26:36.122],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,0.84,0.45,1.52,1696.00
[03:26:36.122],0.00,0.00,0.00,0.00,-0.01,0.01,1.01,0.84,0.45,1.52,1696.00
[03:26:36.162],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.67,0.72,1.41,1659.00
[03:26:36.163],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.67,0.72,1.41,1659.00
[03:26:36.226],0.00,0.00,0.00,0.00,-0.01,0.01,1.00,0.67,0.72,1.41,1659.00
[03:26:36.226],0.00,0.00,0.00,0.00,0.00,0.01,1.01,0.61,0.49,1.39,1659.00
[03:26:36.226],0.00,0.00,0.00,0.00,0.00,0.01,1.01,0.61,0.49,1.39,1659.00
[03:26:36.226],0.00,0.00,0.00,0.00,0.00,0.01,1.01,0.61,0.49,1.39,1617.00
[03:26:36.227],0.00,0.00,0.00,0.00,0.00,0.01,1.02,0.65,0.53,1.20,1617.00
[03:26:36.278],0.00,0.00,0.00,0.00,0.00,0.01,1.02,0.65,0.53,1.20,1617.00
[03:26:36.279],0.00,0.00,0.00,0.00,0.00,0.01,1.02,0.65,0.53,1.20,1617.00
[03:26:36.279],0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.77,0.87,1.55,1617.00
[03:26:36.279],0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.77,0.87,1.55,1617.00
[03:26:36.279],0.00,0.00,0.00,0.00,0.00,0.00,1.02,0.77,0.87,1.55,1713.00
[03:26:36.318],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.89,0.61,1.59,1713.00
[03:26:36.318],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.89,0.61,1.59,1713.00
[03:26:36.318],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.89,0.61,1.59,1713.00
[03:26:36.318],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,0.71,1.48,1713.00
[03:26:36.357],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,0.71,1.48,1713.00
[03:26:36.407],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,0.71,1.48,1679.00
[03:26:36.407],0.00,0.00,0.00,0.00,0.01,0.00,1.03,0.75,0.94,1.39,1679.00
[03:26:36.408],0.00,0.00,0.00,0.00,0.01,0.00,1.03,0.75,0.94,1.39,1679.00
[03:26:36.408],0.00,0.00,0.00,0.00,0.01,0.00,1.03,0.75,0.94,1.39,1679.00
[03:26:36.408],0.00,0.00,0.00,0.00,0.01,0.01,1.04,0.64,0.64,1.63,1679.00
[03:26:36.446],0.00,0.00,0.00,0.00,0.01,0.01,1.04,0.64,0.64,1.63,1679.00
[03:26:36.447],0.00,0.00,0.00,0.00,0.01,0.01,1.04,0.64,0.64,1.63,1690.00
[03:26:36.447],0.00,0.00,0.00,0.00,-0.01,0.01,1.06,0.88,0.95,1.70,1690.00
[03:26:36.447],0.00,0.00,0.00,0.00,-0.01,0.01,1.06,0.88,0.95,1.70,1690.00
[03:26:36.447],0.00,0.00,0.00,0.00,-0.01,0.01,1.06,0.88,0.95,1.70,1690.00
[03:26:36.489],0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.55,0.81,1.54,1690.00
[03:26:36.489],0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.55,0.81,1.54,1690.00
[03:26:36.490],0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.55,0.81,1.54,1668.00
[03:26:36.490],0.00,0.00,0.00,0.00,0.00,0.01,1.05,0.99,0.90,1.33,1668.00
[03:26:36.490],0.00,0.00,0.00,0.00,0.00,0.01,1.05,0.99,0.90,1.33,1668.00
[03:26:36.528],0.00,0.00,0.00,0.00,0.00,0.01,1.05,0.99,0.90,1.33,1668.00
[03:26:36.529],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.71,0.75,1.53,1668.00
[03:26:36.529],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.71,0.75,1.53,1668.00
[03:26:36.572],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.71,0.75,1.53,1610.00
[03:26:36.572],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.85,0.84,1.43,1610.00
[03:26:36.624],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.85,0.84,1.43,1610.00
[03:26:36.624],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.85,0.84,1.43,1610.00
[03:26:36.625],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.93,0.52,1.48,1610.00
[03:26:36.625],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.93,0.52,1.48,1627.00
[03:26:36.625],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.93,0.52,1.48,1627.00
[03:26:36.663],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.96,0.90,1.24,1627.00
[03:26:36.663],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.96,0.90,1.24,1627.00
[03:26:36.664],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.96,0.90,1.24,1627.00
[03:26:36.664],0.00,0.00,0.00,0.00,0.01,-0.01,1.04,0.87,0.64,1.59,1627.00
[03:26:36.664],0.00,0.00,0.00,0.00,0.01,-0.01,1.04,0.87,0.64,1.59,1677.00
[03:26:36.706],0.00,0.00,0.00,0.00,0.01,-0.01,1.04,0.87,0.64,1.59,1677.00
[03:26:36.706],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.79,0.59,1.48,1677.00
[03:26:36.707],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.79,0.59,1.48,1677.00
[03:26:36.707],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.79,0.59,1.48,1677.00
[03:26:36.707],0.00,0.00,0.00,0.00,0.02,0.00,1.04,1.02,0.88,1.51,1617.00
[03:26:36.745],0.00,0.00,0.00,0.00,0.02,0.00,1.04,1.02,0.88,1.51,1617.00
[03:26:36.745],0.00,0.00,0.00,0.00,0.02,0.00,1.04,1.02,0.88,1.51,1617.00
[03:26:36.745],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.84,0.80,1.37,1617.00
[03:26:36.771],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.84,0.80,1.37,1617.00
[03:26:36.772],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.84,0.80,1.37,1617.00
[03:26:36.822],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.77,0.93,1.42,1694.00
[03:26:36.823],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.77,0.93,1.42,1694.00
[03:26:36.823],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.77,0.93,1.42,1694.00
[03:26:36.823],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.79,0.84,1.23,1694.00
[03:26:36.823],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.79,0.84,1.23,1694.00
[03:26:36.862],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.79,0.84,1.23,1694.00
[03:26:36.862],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.93,0.99,1.28,1694.00
[03:26:36.862],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.93,0.99,1.28,1694.00
[03:26:36.862],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.93,0.99,1.28,1694.00
[03:26:36.862],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.62,0.62,1.51,1694.00
[03:26:36.903],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.62,0.62,1.51,1694.00
[03:26:36.903],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.62,0.62,1.51,1694.00
[03:26:36.903],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.59,0.54,1.29,1625.00
[03:26:36.903],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.59,0.54,1.29,1625.00
[03:26:36.904],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.59,0.54,1.29,1625.00
[03:26:36.942],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.78,0.64,1.29,1625.00
[03:26:36.942],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.78,0.64,1.29,1625.00
[03:26:36.942],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,0.78,0.64,1.29,1671.00
[03:26:36.980],0.00,0.00,0.00,0.00,-0.01,0.01,1.04,0.80,0.72,1.53,1671.00
[03:26:36.981],0.00,0.00,0.00,0.00,-0.01,0.01,1.04,0.80,0.72,1.53,1671.00
[03:26:37.030],0.00,0.00,0.00,0.00,-0.01,0.01,1.04,0.80,0.72,1.53,1671.00
[03:26:37.030],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.74,0.38,1.56,1671.00
[03:26:37.030],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.74,0.38,1.56,1671.00
[03:26:37.030],0.00,0.00,0.00,0.00,0.00,0.01,1.04,0.74,0.38,1.56,1652.00
[03:26:37.030],0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.70,0.89,1.57,1652.00
[03:26:37.069],0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.70,0.89,1.57,1652.00
[03:26:37.069],0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.70,0.89,1.57,1652.00
[03:26:37.069],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,1.15,0.92,1.35,1652.00
[03:26:37.069],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,1.15,0.92,1.35,1652.00
[03:26:37.070],0.00,0.00,0.00,0.00,0.00,-0.01,1.04,1.15,0.92,1.35,1673.00
[03:26:37.108],0.00,0.00,0.00,0.00,0.01,0.01,1.03,0.87,0.92,1.61,1673.00
[03:26:37.108],0.00,0.00,0.00,0.00,0.01,0.01,1.03,0.87,0.92,1.61,1673.00
[03:26:37.108],0.00,0.00,0.00,0.00,0.01,0.01,1.03,0.87,0.92,1.61,1673.00
[03:26:37.108],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.87,0.57,1.71,1673.00
[03:26:37.108],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.87,0.57,1.71,1673.00
[03:26:37.147],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.87,0.57,1.71,1699.00
[03:26:37.147],0.00,0.00,0.00,0.00,-0.01,-0.01,1.04,0.68,0.91,1.69,1699.00
[03:26:37.147],0.00,0.00,0.00,0.00,-0.01,-0.01,1.04,0.68,0.91,1.69,1699.00
[03:26:37.184],0.00,0.00,0.00,0.00,-0.01,-0.01,1.04,0.68,0.91,1.69,1699.00
[03:26:37.184],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,1.02,1.27,1699.00
[03:26:37.236],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,1.02,1.27,1699.00
[03:26:37.236],0.00,0.00,0.00,0.00,0.00,0.00,1.03,1.04,1.02,1.27,1707.00
[03:26:37.236],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.77,0.81,1.62,1707.00
[03:26:37.237],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.77,0.81,1.62,1707.00
[03:26:37.237],0.00,0.00,0.00,0.00,-0.01,0.00,1.04,0.77,0.81,1.62,1707.00
[03:26:37.275],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.94,0.79,1.46,1707.00
[03:26:37.276],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.94,0.79,1.46,1707.00
[03:26:37.276],0.00,0.00,0.00,0.00,0.01,0.00,1.04,0.94,0.79,1.46,1711.00
[03:26:37.276],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.77,0.76,1.41,1711.00
[03:26:37.276],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.77,0.76,1.41,1711.00
[03:26:37.314],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.77,0.76,1.41,1711.00
[03:26:37.315],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.69,0.51,1.34,1711.00
[03:26:37.315],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.69,0.51,1.34,1711.00
[03:26:37.315],0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.69,0.51,1.34,1675.00
[03:26:37.315],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.72,0.93,1.87,1675.00
[03:26:37.354],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.72,0.93,1.87,1675.00
[03:26:37.354],0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.72,0.93,1.87,1675.00
[03:26:37.354],0.00,0.00,0.00,0.00,0.01,0.00,1.05,0.92,0.79,1.45,1675.00
[03:26:37.379],0.00,0.00,0.00,0.00,0.01,0.00,1.05,0.92,0.79,1.45,1675.00
