epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9114,1.88225,5.07893,0.01802,0.59731,0.26237,0.25817,0.16349,1.15132,4.15129,0.01064,0.0002929,0.0002929,0.0002929
2,181.046,1.63712,3.07456,0.01535,0.73359,0.23168,0.24243,0.14595,1.52518,3.98465,0.01348,0.000584101,0.000584101,0.000584101
3,276.622,1.62572,2.23284,0.01461,0.7102,0.34101,0.41059,0.23491,1.52033,2.39601,0.01405,0.000863304,0.000863304,0.000863304
4,483.592,1.62816,1.83214,0.01451,0.75077,0.30725,0.34211,0.19069,1.59415,2.68138,0.01459,0.000855005,0.000855005,0.000855005
5,666.279,1.56784,1.63545,0.01372,0.74777,0.42532,0.50308,0.26899,1.51393,2.15149,0.01239,0.000837007,0.000837007,0.000837007
6,827.352,1.50709,1.44982,0.0135,0.68939,0.51959,0.48678,0.29571,1.50982,1.81454,0.01433,0.000819009,0.000819009,0.000819009
7,1153.71,1.48188,1.35309,0.01337,0.71181,0.54735,0.56327,0.36211,1.37205,1.81112,0.01287,0.000801011,0.000801011,0.000801011
8,1374.76,1.41451,1.26408,0.01327,0.77631,0.52458,0.63015,0.40156,1.35294,1.37549,0.01265,0.000783013,0.000783013,0.000783013
9,1441.15,1.41713,1.24864,0.0126,0.84043,0.48708,0.59612,0.39745,1.34503,1.33546,0.01194,0.000765014,0.000765014,0.000765014
10,1492.26,1.33356,1.15285,0.01147,0.69713,0.4873,0.52456,0.34305,1.32753,1.55381,0.01134,0.000747016,0.000747016,0.000747016
11,1719.92,1.34444,1.09139,0.01152,0.73717,0.48527,0.5615,0.38186,1.21589,1.60477,0.01113,0.000729018,0.000729018,0.000729018
12,1973.88,1.26904,1.06531,0.01092,0.78161,0.60577,0.66684,0.45331,1.25657,1.22177,0.0122,0.00071102,0.00071102,0.00071102
13,2126.38,1.23507,0.99793,0.01126,0.71148,0.50476,0.54726,0.40211,1.13474,1.66885,0.00966,0.000693022,0.000693022,0.000693022
14,2295.03,1.23292,0.98806,0.01045,0.81052,0.57078,0.64047,0.45074,1.21237,1.25556,0.01075,0.000675023,0.000675023,0.000675023
15,2560.32,1.20187,0.95774,0.01016,0.6426,0.59539,0.64724,0.46167,1.13862,1.257,0.01027,0.000657025,0.000657025,0.000657025
16,2745.72,1.19596,0.95703,0.01019,0.72405,0.57429,0.64148,0.44805,1.21605,1.42891,0.01123,0.000639027,0.000639027,0.000639027
17,3064.07,1.19529,0.89898,0.01025,0.70392,0.47963,0.58672,0.42395,1.17721,1.50497,0.01126,0.000621029,0.000621029,0.000621029
18,3263.15,1.14205,0.85527,0.01023,0.77712,0.5418,0.63735,0.46822,1.2036,1.39876,0.01162,0.000603031,0.000603031,0.000603031
19,3689.22,1.16618,0.86349,0.0106,0.7936,0.61699,0.72616,0.54281,1.10656,1.08573,0.00885,0.000585032,0.000585032,0.000585032
20,3815.24,1.11031,0.79178,0.00968,0.68348,0.64101,0.73927,0.49489,1.10578,1.23669,0.00941,0.000567034,0.000567034,0.000567034
21,3948.07,1.07991,0.75114,0.009,0.77158,0.68719,0.74776,0.54042,1.14308,1.09609,0.00991,0.000549036,0.000549036,0.000549036
22,4072.41,1.08697,0.74988,0.00893,0.79517,0.65978,0.73893,0.48676,1.15866,1.25639,0.00926,0.000531038,0.000531038,0.000531038
23,4189.22,1.05882,0.76816,0.00873,0.9181,0.56213,0.6355,0.46134,1.12708,1.22615,0.0097,0.00051304,0.00051304,0.00051304
24,4249.21,1.03374,0.75475,0.00882,0.6571,0.58245,0.6363,0.49032,1.15419,1.13932,0.00957,0.000495041,0.000495041,0.000495041
